rank,title,view,author,score,url
1,【嘻咦啊看】电影名叫《伴我同行》，谢谢你还在,1.7万,嘻咦啊看,1094223,https://www.bilibili.com/video/av28688911/
2,【杨超越】Giao！鬼畜全明星·燃烧我的卡路里,4662,鸡鸡·夫斯基,1053672,https://www.bilibili.com/video/av28658877/
3,【电音五五开】头号玩家,3250,哦呼w,949843,https://www.bilibili.com/video/av28668160/
4,【王老菊】新警察故事01：博丽博丽干杯,1.4万,怕上火暴王老菊,918421,https://www.bilibili.com/video/av28759241/
5,【散人】金牌红娘 在线撮合【第五期.甜品西施】,1.1万,逍遥散人,798040,https://www.bilibili.com/video/av28792264/
6,【全明星】爱你,5541,潮汕好男人,722046,https://www.bilibili.com/video/av28628695/
7,【官方投稿】SawanoHiroyuki[nZk]:mizuki / 「＆Z」 MUSIC VIDEO,5504,澤野弘之_nZk,721518,https://www.bilibili.com/video/av28439490/
8,我可能也就看了100遍！,3859,炮兵怕把标兵碰碰碰,715558,https://www.bilibili.com/video/av28157137/
9,【冷面作品】《来自加拿带的你》 孙笑川 · 吴亦凡,4164,冷面Lim,664897,https://www.bilibili.com/video/av28580701/
10,【布料/水手服】可爱殿下的/纯情裙摆  长筒袜/60FPS test,575,謃桜Alkaid,651367,https://www.bilibili.com/video/av28465342/
11,【Vsinger全员翻唱】卡路里【动点p、人形兎】,5011,动次打次的动点p,639729,https://www.bilibili.com/video/av28725520/
12,【Lex】补番推荐！那些有趣的轻小说改编动画大盘点！！！,1.6万,LexBurner,639486,https://www.bilibili.com/video/av28851257/
13,"【C菌】最黑暗的恐怖游戏, 竟会毁灭操作系统...【恐怖游戏合集2.0: 第五期】修复！",1.8万,渗透之C君,620819,https://www.bilibili.com/video/av28582041/
14,【抽风】我拆了B站的粉丝成就奖牌 里面竟然......,4520,抽风CRAZY,595144,https://www.bilibili.com/video/av28752439/
15,主持人：我们可是受过专业训练的，一般不会笑，除非没忍住！,1557,荒草何茫茫,594116,https://www.bilibili.com/video/av28581621/
16,指挥官，想看95式跳舞吗【少女前线MMD/95式玉玲珑】,632,挪挪真不是娜娜,534939,https://www.bilibili.com/video/av28635039/
17,炉石传说：【天天素材库】 第107期,5744,天天卡牌,533566,https://www.bilibili.com/video/av28652690/
18,中国网游史，史上最良心的网游公司，传统网游崛起的希望,4051,芒果冰OL,511191,https://www.bilibili.com/video/av28646971/
19,【手书】潇洒哥和黑大帅的惩罚游戏,2496,峫老仙,472264,https://www.bilibili.com/video/av28614763/
20,和VR女友一起玩游戏？,1.3万,中国BOY超级大猩猩,460211,https://www.bilibili.com/video/av28755115/
21,【镇魂/沈巍】-Gangsta [朱一龙A向个人混剪],534,Givexo_Always,456439,https://www.bilibili.com/video/av27629923/
22,22岁抖音网红被前男友割喉，家属哭求：不要赔偿，只求死刑！,8174,bili保安蜀黍,432777,https://www.bilibili.com/video/av28594013/
23,你或许不知道猫咪其实还能这样,3003,御-坂-美-琴,426001,https://www.bilibili.com/video/av28684419/
24,【再续筋澜】烤面筋扫清六合灌醉我！,4931,还有一天就放假了,422636,https://www.bilibili.com/video/av28822796/
25,【手书】那什么的喜羊羊与灰太狼,1466,我不能再打错字了,422064,https://www.bilibili.com/video/av28620127/
26,【敖厂长】丧尸厂长(架空篇),6724,敖厂长,415690,https://www.bilibili.com/video/av28806124/
27,【特效向/DNF】地下城与男♂魂：补丁♂大战（番外篇）,1268,豪言の经理,411595,https://www.bilibili.com/video/av28781814/
28,【大忽悠】为什么台湾也有疯狂gay别人的主播啊,2687,吴织亚切大忽悠,397649,https://www.bilibili.com/video/av28575549/
29,风油精处决♂蚊子，给它不一样的快活,2224,醉叙楹联,389446,https://www.bilibili.com/video/av28821090/
30,《镇魂》镇长花絮站 最炫民族风已上传 这大概是所有花絮了吧,3138,ing素颜ing,387163,https://www.bilibili.com/video/av27760751/
31,【TOS偶像总选举/次元壁破裂】Lost in Paradise/穿越时空的思念,879,音乐鱼,384611,https://www.bilibili.com/video/av28463616/
32,【高能】当穿越火线用原引擎重制，做成HD是什么样？,1301,Tupac__,377572,https://www.bilibili.com/video/av28631567/
